brand_name,generic_name
Easyhaler Budesonide 100micrograms/dose dry powder inhaler,Budesonide 100micrograms/dose dry powder inhaler
Easyhaler Salbutamol sulfate 100micrograms/dose dry powder inhaler,Salbutamol 100micrograms/dose dry powder inhaler
Easyhaler Salbutamol sulfate 200micrograms/dose dry powder inhaler,Salbutamol 200micrograms/dose dry powder inhaler
Econac 100mg suppositories,Diclofenac 100mg suppositories
Edronax 4mg tablets,reboxetine 4mg tablets
Elantan LA25 capsules,isosorbide mononitrate 25mg modified-release capsules
Elidel 1% cream,Pimecrolimus 1% cream
EllaOne 30mg tablets,Ulipristal 30mg tablets
Elleste Duet Conti tablets,Estradiol 2mg / Norethisterone acetate 1mg tablets
Elleste Solo 1mg tablets,Estradiol 1mg tablets
Elocon 0.1% cream,mometasone 0.1% cream
Elocon 0.1% ointment,mometasone 0.1% ointment
Elocon 0.1% scalp lotion,mometasone 0.1% scalp lotion
Emla 5% cream,Lidocaine 2.5% / Prilocaine 2.5% cream
Emozul 20mg gastro-resistant capsules,Esomeprazole 20mg gastro-resistant capsules
Enodama 50mg tablets,Primidone 50mg tablets
Enstilar 50micrograms/g / 0.5 mg/g cutaneous foam,Calcipotriol 50micrograms/g / Betamethasone dipropionate 500micrograms/g foam
Entocort CR 3mg capsules,budesonide 3mg gastro-resistant modified-release capsules
Entresto 24mg/26mg tablets,Sacubitril 24mg / Valsartan 26mg tablets
Entresto 49mg/51mg tablets,Sacubitril 49mg / Valsartan 51mg tablets
Entresto 97mg/103mg tablets,Sacubitril 97mg / Valsartan 103mg tablets
Epanutin 50mg capsules,phenytoin sodium 50mg capsules
"EpiPen 300micrograms/0.3ml (1 in 1,000) solution for injection auto-injectors","Adrenaline (base) 300micrograms/0.3ml (1 in 1,000) solution for injection pre-filled disposable devices"
"EpiPen Jr. 150micrograms/0.3ml (1 in 2,000) solution for injection auto-injectors","Adrenaline (base) 150micrograms/0.3ml (1 in 2,000) solution for injection pre-filled disposable devices"
Epiduo 0.3%/2.5% gel,Adapalene 0.3% / Benzoyl peroxide 2.5% gel
Epilim 100mg crushable tablets,Sodium valproate 100mg tablets
Epilim 200 gastro-resistant tablets,Sodium valproate 200mg gastro-resistant tablets
Epilim 500 gastro-resistant tablets,Sodium valproate 500mg gastro-resistant tablets
Epilim Chrono 200 tablets,Sodium valproate 200mg modified-release tablets
Epilim Chrono 300 tablets,Sodium valproate 300mg modified-release tablets
Epilim Chrono 500 tablets,Sodium valproate 500mg modified-release tablets
Epilim Chronosphere MR 250mg granules sachets,sodium valproate 250mg modified-release granules sachets sugar free
